cycle_idx,start_idx,end_idx,duration,avg_current_magnitude
843,14164321,14167398,3078,3.1989205357434103
844,14180931,14184008,3078,3.198921353722166
845,14197521,14200599,3079,3.1989277402551153
846,14214141,14217217,3077,3.198916153212016
847,14230741,14233818,3078,3.1989079686152335
848,14247348,14250425,3078,3.1989284180841535
849,14263942,14267016,3075,3.1989239040021884
850,14280510,14283585,3076,3.1989255336912867
851,14297090,14300163,3074,3.1989217520435225
852,14313665,14316738,3074,3.1989272619700975
853,14330267,14333339,3073,3.1989157255840373
854,14346843,14349915,3073,3.198874238721692
855,14363413,14366484,3072,3.198917369416185
856,14380023,14383094,3072,3.198949258387742
857,14396607,14399678,3072,3.1989275768673644
858,14413196,14416265,3070,3.1989161869643197
859,14429794,14432863,3070,3.198925655510479
860,14446343,14449411,3069,3.19891939872895
861,14462932,14466000,3069,3.1989412506029327
862,14479494,14482561,3068,3.198924626897558
863,14496094,14499161,3068,3.1989568558616788
864,14512692,14515758,3067,3.1989188134710353
865,14529290,14532356,3067,3.1989126193131363
866,14545860,14548925,3066,3.198903440700452
867,14562446,14565511,3066,3.198917475417265
868,14579003,14582068,3066,3.198915235834792
869,14595572,14598635,3064,3.1989259272097277
870,14612135,14615198,3064,3.1989248066875557
871,14628719,14631782,3064,3.1989112110185673
872,14645314,14648376,3063,3.198915996693269
873,14661889,14664951,3063,3.198918985727927
874,14678478,14681545,3068,3.1989137347013568
875,14695045,14698106,3062,3.1989139832192053
876,14711646,14714705,3060,3.198913767078545
877,14728225,14731284,3060,3.1989192274148195
878,14744805,14747863,3059,3.1989171381986665
879,14761358,14764416,3059,3.1989192332588816
880,14779517,14782581,3065,3.198915613750637
881,14796175,14799241,3067,3.1989085893790854
882,14812841,14815906,3066,3.198898961535503
883,14829478,14832541,3064,3.1989156931072413
884,14846071,14849134,3064,3.198908671168313
885,14862699,14865759,3061,3.1989050143833335
886,14879315,14882374,3060,3.1989157866549762
887,14895919,14898976,3058,3.1989142242876043
888,14912494,14915549,3056,3.198910562758362
889,14929072,14932126,3055,3.198919181751858
890,14945633,14948686,3054,3.1989168642620456
891,14962187,14965239,3053,3.1989101219870055
892,14978771,14981821,3051,3.1989136536662994
893,14995337,14998386,3050,3.198914032921999
894,15011944,15014992,3049,3.1989136617366545
895,15028532,15031580,3049,3.1989137368056437
896,15045123,15048171,3049,3.1989137368056415
897,15061737,15064782,3046,3.198903153853511
898,15078328,15081373,3046,3.198920061010071
899,15094908,15097951,3044,3.198911501382527
900,15111490,15114532,3043,3.198910376463368
901,15128045,15131086,3042,3.1989173016692574
902,15144617,15147657,3041,3.1988908883844616
903,15161159,15164198,3040,3.1989130958548055
904,15177724,15180762,3039,3.1989011997914707
905,15194283,15197321,3039,3.1989044383795324
906,15210677,15213717,3041,3.1989039094833895
907,15227241,15230276,3036,3.1989192179540655
908,15243768,15246801,3034,3.198919908693355
909,15260343,15263376,3034,3.198926547424036
910,15276904,15279936,3033,3.198899614728605
911,15293425,15296454,3030,3.1989008971852018
912,15309983,15313013,3031,3.198915320659628
913,15326496,15329526,3031,3.198906183370042
914,15343066,15346094,3029,3.198905430914647
915,15359606,15362633,3028,3.198903618111682
916,15376128,15379155,3028,3.1988921284914826
917,15392661,15395686,3026,3.198914662987196
918,15409194,15412218,3025,3.1989092952034737
919,15425751,15428773,3023,3.198912177615664
920,15442292,15445314,3023,3.1989144490545907
921,15458843,15461862,3020,3.1989063525531725
922,15475392,15478408,3017,3.1989011986930733
923,15491948,15494964,3017,3.1988856463257016
924,15508492,15511505,3014,3.198899375964769
925,15525036,15528049,3014,3.1989007428977208
926,15541577,15544588,3012,3.198919968253991
927,15558097,15561114,3018,3.1988988477011997
928,15574628,15577643,3016,3.1989018057656464
929,15591144,15594157,3014,3.198907805384635
930,15610354,15613362,3009,3.198901882891838
931,15626957,15629969,3013,3.1988996791731585
932,15643525,15646535,3011,3.198902186603689
933,15660125,15663129,3005,3.1988964756610727
934,15676705,15679706,3002,3.198894640926847
935,15693249,15696249,3001,3.1988774780116858
936,15709822,15712821,3000,3.1988880750744295
937,15726372,15729371,3000,3.198880369268366
938,15742890,15745886,2997,3.1988940951327893
939,15759427,15762422,2996,3.1988699512679357
940,15775948,15778941,2994,3.1988953110310487
941,15792477,15795467,2991,3.198874031111451
942,15808948,15811938,2991,3.1988824488266427
943,15825476,15828461,2986,3.1988918454734674
944,15842057,15845042,2986,3.198892458696052
945,15858642,15861624,2983,3.198887615769174
946,15875124,15878107,2984,3.198881100515062
947,15891624,15894606,2983,3.198890378046011
948,15908144,15911122,2979,3.1988921304706706
949,15924665,15927642,2978,3.198886132392912
950,15941192,15944167,2976,3.198885737613775
951,15957707,15960682,2976,3.198885814524177
952,15974188,15977161,2974,3.198885111417319
953,15990667,15993639,2973,3.1988847980031623
954,16007118,16010093,2976,3.1988833533916075
955,16023583,16026556,2974,3.1988808785010323
956,16040059,16043031,2973,3.198881025591083
